state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,12892.001134154663,12656.340621011186,236.394658044234,234.2352138091201,45.687583248559434,34.76757468485838
2,Alaska,AK,4,732673,11191.895975421505,10950.763261958025,53.912181832823094,53.002271590918916,52.84390171331549,46.31042770785876
3,Arizona,AZ,4,7276316,13419.854222933694,13300.775125371529,254.3594863114796,253.7822711383068,55.27019442256219,46.64133608270999
4,Arkansas,AR,4,3025891,14180.947033452296,13938.987604926002,217.4896584179668,214.51532788193626,51.054945468954436,38.912902017951076
5,California,CA,3,39237836,10901.526271734252,10789.985243543284,165.4219666956149,164.85533673841408,67.71633379577814,54.83430329847956
6,Colorado,CO,3,5812069,10323.87949971,10249.740668942506,124.17264832884814,123.81706640670187,61.58631289477121,55.20750011742807
7,Connecticut,CT,3,3605597,10134.937431998085,10077.740642831528,231.0297018773867,230.37793741230647,71.22068827991592,63.950602355171696
8,Delaware,DE,3,1003384,11527.49097055564,11434.292069921099,184.4757341157523,183.37944396163383,60.84280793793801,52.40007813558917
9,District of Columbia,DC,4,1340100,3967.0173867621816,3925.37870308186,86.1875979404522,85.83936522150088,34.78665771211104,29.65860756659951
10,Florida,FL,3,21781128,13745.931799308097,13440.84855739073,192.53823768906733,187.99837486225078,60.79694770628959,50.00628066645584
11,Georgia,GA,4,10799566,11748.39803747669,11505.361815994667,198.44315966030487,197.26718647767882,47.950788022407565,39.071190453394145
12,Hawaii,HI,3,1441553,3577.0450340708944,3443.567953648402,38.50014532937742,38.002996305604675,71.60929913780485,53.39907724516546
13,Idaho,ID,4,1900923,11173.940238505189,11034.609427705835,120.04694561536685,118.69672434566435,40.17185335755315,35.91102848458354
14,Illinois,IL,3,12671469,11695.755243531748,11604.222277396791,206.74003937507166,206.13895147700183,64.53947841406548,49.96595895866533
15,Indiana,IN,4,6805985,11995.383474985618,11850.525677032787,208.8455969268225,207.90279927642118,48.34145241283958,44.76683389693042
16,Iowa,IA,4,3193079,12306.930082218449,12222.237980510794,194.984214295982,194.56664450414996,54.46946348649689,50.03418330708386
17,Kansas,KS,4,2934582,12086.25282919339,11972.578815556792,185.0007939801989,184.75090035537144,55.33575139491758,46.328403840819576
18,Kentucky,KY,4,4509394,11796.573996417257,11543.023931185178,167.02909526202413,166.3009856017608,54.352513885457775,46.543992385673114
19,Louisiana,LA,4,4624047,13927.042696581588,13552.59024956154,256.2906475647847,251.00667589811837,47.488206759144106,39.12222345490866
20,Maine,ME,3,1372247,5339.344884703702,5300.461838971306,67.11619701117947,65.97451722126799,68.61148175219184,63.481210015398105
21,Maryland,MD,3,6165129,7848.367811930618,7802.31154009221,160.8401056977072,160.4670397002236,65.47381247010404,59.041668065664155
22,Massachusetts,MA,3,6984723,10626.07636695113,10559.600676259563,260.1248467548391,259.83612139426765,73.237163449431,64.10315770575296
23,Michigan,MI,4,10050811,10291.458072388388,10250.402394678114,212.36097266180812,211.87344981414932,54.027132735855844,49.36467315921074
