state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,41.07243093432638,30.783064178522043,1.6071820800388579,0.37699332741652225,0.0,0.0
2,Alaska,AK,3,732673,67.69732199767154,67.48284315493697,0.40945960885688437,0.18198204838083745,0.0,0.0
3,Arizona,AZ,4,7276316,24.050632215533245,28.15789120287166,0.41229655226628414,0.3183845598056306,0.0,0.0
4,Arkansas,AR,4,3025891,64.84040568546587,49.02924224869397,0.4626736389380847,0.47368967796042,0.0,0.0
5,California,CA,3,39237836,13.125086714771937,16.342462340248762,0.09174817897704654,0.10831382240345773,0.0,0.0
6,Colorado,CO,3,5812069,74.10441961373824,61.93270294229866,0.20646692253653562,0.2953624030730995,0.0,0.0
7,Connecticut,CT,3,3605597,48.646590287267266,37.116896710467486,0.24961192279669636,0.2865914669147254,0.0,0.0
8,Delaware,DE,3,1003384,22.922430495204228,25.741462320080277,0.1993254825669933,0.16610456880582775,0.0,0.0
9,District of Columbia,DC,2,1340100,15.37198716513693,8.293624143187609,0.0,0.12436882819690075,0.0,0.0
10,Florida,FL,3,21781128,26.80301956813256,24.194601596653502,0.23873878340919716,0.24945142112627652,0.0,0.0
11,Georgia,GA,4,10799566,21.028622816879864,22.03263141711965,0.6944723519445134,0.3148274662148461,0.0,0.0
12,Hawaii,HI,2,1441553,8.046877221996,7.1153421741294665,0.0,0.03468481561205173,0.0,0.0
13,Idaho,ID,4,1900923,80.27679185322077,65.71995363755998,0.9469084229082398,0.4822218820366036,0.0,0.0
14,Illinois,IL,4,12671469,97.73136800476725,89.66713217814649,1.1600864903666654,0.5511068474644363,0.0,0.0
15,Indiana,IN,4,6805985,74.06716294555453,68.58249446206956,0.4554814622718093,0.6538362926159843,0.0,0.0
16,Iowa,IA,4,3193079,145.00111021368403,139.32812632750841,0.9082142972347379,0.5063033725963769,0.0,0.0
17,Kansas,KS,4,2934582,177.77659646246042,82.80566022690796,1.1585977151090003,0.5338636530404217,0.0,0.0
18,Kentucky,KY,3,4509394,62.89093390375736,47.14602449907903,0.3326389310847533,0.29937503797627796,0.0,0.0
19,Louisiana,LA,3,4624047,0.0,14.019877269537146,0.0,0.29916074238288093,0.0,0.0
20,Maine,ME,2,1372247,10.347991287282829,11.7117607627698,0.14574635615891307,0.07287317807945654,0.0,0.0
21,Maryland,MD,3,6165129,27.36357990238323,22.254197762934076,0.2595241721624965,0.16490598439491969,0.0,0.0
22,Massachusetts,MA,4,6984723,38.08311367537409,29.128877817651876,0.3006561605950587,0.33167624065645357,0.0,0.0
23,Michigan,MI,4,10050811,64.61170148359172,55.962790323231495,0.4178767265646523,0.5173711852705221,0.0,0.0
24,Minnesota,MN,4,5707390,85.69591354366882,84.22413747790145,1.0162263311250852,0.49059202192245494,0.0,0.0
25,Mississippi,MS,4,2949965,42.57677633463448,34.47498529643572,0.5762780236375686,0.46893211727370776,0.0,0.0
26,Missouri,MO,4,6168187,58.8665680855655,65.97910027232129,0.5836398928891099,0.5647256371010368,0.0,0.0
27,Montana,MT,4,1104271,82.67898006920403,79.17311187975726,0.6339023663575336,0.9659464630210035,0.0,0.0
28,Nebraska,NE,4,1963692,113.76529516848875,100.62677853757107,0.0,0.5856315552540826,0.0,0.0
29,Nevada,NV,3,3143991,39.885610359571636,42.448322166680136,0.44529389556140586,0.2491525368022152,0.0,0.0
30,New Hampshire,NH,2,1388992,16.486776021748145,16.301646908590648,0.21598396535041237,0.05999554593067011,0.0,0.0
31,New Jersey,NJ,3,9267130,33.07388587405162,28.11472992640193,0.16186241047659847,0.12589298592624323,0.0,0.0
32,New Mexico,NM,4,2115877,70.27818724812454,59.299963358658644,0.6616641704598141,0.6695411248700499,0.0,0.0
33,New York,NY,3,19835913,24.30440181906424,18.120812343896503,0.12603402727164614,0.12687425412012376,0.0,0.0
34,North Carolina,NC,3,10551162,24.983030305098147,23.61960566184897,0.36014990576393385,0.2369407274762723,0.0,0.0
35,North Dakota,ND,4,774948,131.7507755359069,167.237027516685,1.548490995524861,2.279722854522712,0.0,0.0
36,Ohio,OH,3,11780017,49.86410461037535,45.04844335720641,0.6451603592762217,0.16836421656550526,0.0,0.0
37,Oklahoma,OK,3,3986639,54.60740237578571,52.181441918511155,0.47659193621494195,0.24665723014632965,0.0,0.0
38,Oregon,OR,3,4246155,20.277168402943367,19.247665577109508,0.1177535911901473,0.1334540700155003,0.0,0.0
39,Pennsylvania,PA,3,12964056,31.610477461683285,27.83630590391067,0.4705317533339874,0.24297951196755085,0.0,0.0
40,Rhode Island,RI,4,1095610,89.26534076906928,60.68374173813152,0.5476401274176029,0.34988119251680194,0.0,0.0
