state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,26712.3185744414,26622.494953745892,391.45796613687196,391.09420064550517,61.4777701916138,50.18150244539699
2,Alaska,AK,3,732673,36775.614769481064,36599.31316075326,170.0622242118926,170.0622242118926,70.14124991640199,62.79144993742092
3,Arizona,AZ,3,7276316,28985.17601489545,28894.629802067026,418.5084869870962,418.1511633084654,74.1021280549113,62.3636054289011
4,Arkansas,AR,3,3025891,28438.003880509903,28340.799925896677,382.30061823112595,381.7332922214757,67.16676179016362,54.84450695679388
5,California,CA,3,39237836,25549.4110327593,25389.70694364636,235.1582283997517,234.878736261942,83.36652153803793,73.33277757723438
6,Colorado,CO,3,5812069,26326.13274205795,26102.890382065325,222.64016480189755,221.99495566897087,79.28138843499622,70.16642438346827
7,Connecticut,CT,3,3605597,22883.17302238714,22838.13193765138,306.02421734874974,305.8346971851449,95.54839323418562,79.1676662699686
8,Delaware,DE,3,1003384,28267.54263572072,28208.670430691116,297.2939572486705,297.0115794817006,81.54335727896797,67.95394385399807
9,District of Columbia,DC,4,1340100,11627.266621893888,11548.711716609632,100.66412954257144,100.66412954257144,52.99455264532498,40.11320050742482
10,Florida,FL,3,21781128,29523.640832559267,29335.525821121057,346.97009264166667,345.6570293329161,78.92807020830142,66.65369672314492
11,Georgia,GA,3,10799566,23643.616789785814,23572.897016681705,342.1618979873821,341.79151273301164,64.84613363166632,54.38628737488155
12,Hawaii,HI,3,1441553,20533.89642975319,20374.69312609387,103.08327199901773,102.56299976483695,86.548812287859,77.50058443914305
13,Idaho,ID,4,1900923,24243.11768546122,24161.495682435772,261.3467247226742,260.94341187588,58.446607253423736,52.45699063034116
14,Illinois,IL,3,12671469,26936.158704251262,26842.9335225458,303.9110934967366,303.43495822518025,76.32793009239892,69.0607537295005
15,Indiana,IN,3,6805985,25931.235522852316,25874.543823246324,350.5003316933552,350.05464553134726,61.839616161363864,55.76247964108061
16,Iowa,IA,3,3193079,24862.77351734799,24784.058628946274,303.1556688700781,302.13784250248733,67.53584862760991,61.64532728441733
17,Kansas,KS,3,2934582,27350.91403136801,27290.628005721333,305.9038731921616,305.68805597071974,72.46071161071661,62.08301557087176
18,Kentucky,KY,3,4509394,31135.092653247866,31072.312598987803,357.342915699981,357.1581162938228,66.00751675280536,57.28375032210536
19,Louisiana,LA,3,4624047,28046.01683330641,27934.049360410292,376.1207444474505,375.9008793235305,61.79221361720588,54.17981261868662
20,Maine,ME,3,1372247,19591.370941237255,19539.776731157002,175.77010552764918,175.52719493405098,89.73369954534424,78.74325832011291
21,Maryland,MD,3,6165129,18269.771808505546,18201.000220062593,239.41104881990304,239.0731267207331,85.61613228206579,74.9373451877487
22,Massachusetts,MA,3,6984723,27427.916611725333,27363.629370638093,299.09561195197006,298.54918131088857,98.22154722528008,78.86507453480975
23,Michigan,MI,3,10050811,25789.73975333931,25749.99882383336,365.5824390688473,365.28395569272965,66.95449750273883,60.2030821194429
