state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,2,5039877,32.004749322255286,5.464985979391391,0.5754108681620603,0.019841754074553804,39.214111772965886,32.09570392293304
2,Alaska,AK,2,732673,28.935145692553156,6.180890286077729,0.0,0.0,49.987511481929864,44.08351338182245
3,Arizona,AZ,2,7276316,5.1262204665108,6.690984048207126,0.05497287363550456,0.1465943296946788,50.951566699412176,43.598711215950495
4,Arkansas,AR,2,3025891,33.04811706700605,17.515502045513205,0.23133681946904236,0.09363633168985047,42.35307881215814,34.47635754229085
5,California,CA,3,39237836,3.3946826221507225,21.391888904664075,0.09684530003132691,0.020388484217121455,62.47911582076034,50.842972074199
6,Colorado,CO,2,5812069,8.39632151648578,6.459465147928758,0.08602788439022317,0.06882230751217853,57.80989523696295,51.92794510870398
7,Connecticut,CT,1,3605597,2.5515885441440074,1.5491787589445758,-0.027734658088521817,0.004622443014753636,66.7527735351455,60.574684303320645
8,Delaware,DE,1,1003384,0.0,2.221055377175068,0.0,0.016610456880582776,56.9260622054966,49.17947665101297
9,District of Columbia,DC,1,1340100,0.4477277815088426,0.9380963041137657,0.0,0.0,32.557346466681594,27.8996343556451
10,Florida,FL,2,21781128,42.265946924328254,11.369606621973718,0.0,0.08264034810318363,53.53258564019274,45.83453620951128
11,Georgia,GA,2,10799566,6.000241120800595,3.8268733603342424,0.09259631359260177,0.04938470058272095,43.10541738436526,36.36101672974636
12,Hawaii,HI,1,1441553,2.3585674616195176,3.200912983626488,0.0,0.011561605204017243,68.8952123161618,51.28254042688683
13,Idaho,ID,2,1900923,6.523146913367875,4.178421294737947,0.15781807048470664,0.06137369407738592,37.44344194899004,34.18791818500802
14,Illinois,IL,1,12671469,5.058608437585256,2.8218624736518594,0.047350468994557776,0.06971041268643229,59.980346398669326,46.741778715632734
15,Indiana,IN,2,6805985,5.465777547261712,4.510735771530499,0.11754360316691852,0.08326005224323395,45.02030198420949,42.24821241892246
