state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,3513.260343456795,3445.1322635736656,56.41010683395646,55.50400006455184,0.0,0.0
2,Alaska,AK,4,732673,1745.6627990931836,1656.8685582010762,8.735138322280198,8.598651785994571,0.0,0.0
3,Arizona,AZ,4,7276316,3228.47440930273,3190.003214342454,80.5215166576053,80.11838225094493,0.0,0.0
4,Arkansas,AR,4,3025891,3397.280338254088,3302.2575593672836,58.56126344273471,56.435167911424,0.0,0.0
5,California,CA,4,39237836,2284.5984676626917,2251.8702174532327,44.00344606160238,43.352288846918064,0.0,0.0
6,Colorado,CO,4,5812069,1559.4962826490876,1496.6295626762665,38.26520297677127,37.94689980452744,0.0,0.0
7,Connecticut,CT,4,3605597,1813.0978032209366,1771.888063395406,126.71965280645618,126.22042896086278,0.0,0.0
8,Delaware,DE,4,1003384,2344.8649769181093,2309.086052797334,66.77403665994275,66.35877523792819,0.0,0.0
9,District of Columbia,DC,4,1340100,1234.0123871352885,1224.1517157568198,47.90687262144616,47.85712509016739,0.0,0.0
10,Florida,FL,4,21781128,3526.3692495632,3478.5172086325642,74.67932790257694,73.49175549279785,0.0,0.0
11,Georgia,GA,4,10799566,3288.6136350294073,3245.3275040338262,69.88243786833657,69.0876528433334,0.0,0.0
12,Hawaii,HI,4,1441553,1004.3335208625697,987.7046292634203,14.220774400941206,13.076175485743498,0.0,0.0
13,Idaho,ID,4,1900923,2995.597401893712,2856.131318462513,29.45937315714524,28.231899275597517,0.0,0.0
14,Illinois,IL,4,12671469,2881.4338732154893,2783.2560579316305,76.2579303157353,75.12414964147672,0.0,0.0
15,Indiana,IN,4,6805985,2316.755032519173,2228.07258191556,59.726843359190475,58.11796529084327,0.0,0.0
16,Iowa,IA,4,3193079,3515.165143111085,3399.262682105355,50.64077650443349,48.55292754527318,0.0,0.0
17,Kansas,KS,4,2934582,2608.412373550986,2532.3197647910333,32.440736023052004,30.117861192269746,0.0,0.0
18,Kentucky,KY,4,4509394,2097.4436919905424,2014.8130135192696,31.91116145539733,30.647133517275268,0.0,0.0
19,Louisiana,LA,4,4624047,3933.870049331246,3880.941768727079,125.4096249454212,124.46528621645353,0.0,0.0
20,Maine,ME,4,1372247,441.90295187382446,434.7301490600036,10.639483999600655,10.627338469920746,0.0,0.0
21,Maryland,MD,4,6165129,2246.0681682410864,2216.380456689784,66.01646129383505,65.5677007461374,0.0,0.0
22,Massachusetts,MA,4,6984723,2107.671270571503,2070.373544417683,140.4493778779774,139.4782107560553,0.0,0.0
23,Michigan,MI,4,10050811,1692.420641478583,1628.444283181299,74.27261342393166,73.18812382403769,0.0,0.0
24,Minnesota,MN,4,5707390,2246.2982203774404,2173.5779652095166,41.24477212876639,40.14386027004755,0.0,0.0
25,Mississippi,MS,4,2949965,3833.299717115288,3760.906606397994,109.52672319841083,107.89958524931653,0.0,0.0
26,Missouri,MO,4,6168187,2744.9070529152245,2657.5532995815,44.32420742107851,42.92725452930225,0.0,0.0
27,Montana,MT,4,1104271,2330.5873286539268,2135.047853807108,25.265537173393124,22.428069438268924,0.0,0.0
28,Nebraska,NE,4,1963692,3120.906944673605,2996.8694537781744,29.994520525622143,28.848719656646768,0.0,0.0
29,Nevada,NV,4,3143991,2958.91432259189,2894.1013417114013,55.21644304961433,54.62271785553245,0.0,0.0
30,New Hampshire,NH,4,1388992,719.5145832373405,702.6472640385463,33.83748790489794,33.633503048733665,0.0,0.0
31,New Jersey,NJ,4,9267130,2440.604588475612,2404.9424455807016,175.49122543872807,174.99664585116068,0.0,0.0
32,New Mexico,NM,4,2115877,1861.02500287115,1770.2284746635626,45.040425317728776,44.25272987670519,0.0,0.0
33,New York,NY,4,19835913,2494.8385284811443,2471.5848903523047,166.47582594257193,166.25400605457386,0.0,0.0
34,North Carolina,NC,4,10551162,2401.801811023279,2346.8031293614863,38.953055597099166,37.75887433061876,0.0,0.0
35,North Dakota,ND,4,774948,4523.787402509587,4227.21450803335,56.26183950406995,52.97129613857962,0.0,0.0
