state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,24.74266733096859,19.99198449826114,1.6667073422625196,1.038385129901649,11.784732048024187,0.0
2,Alaska,AK,2,732673,24.43108999512743,19.322593922722493,0.0,0.04549551209520936,21.103275267411245,0.0
3,Arizona,AZ,4,7276316,15.02133772090162,21.42371418252235,0.5772151731727979,1.2987341396387955,15.055613307613358,0.0
4,Arkansas,AR,3,3025891,26.537638004805856,15.126595297526768,0.33048117067006044,0.35251324871473116,12.342678569717151,0.0
5,California,CA,3,39237836,14.914176204824342,15.850226078435401,2.762639611419957,0.835503092814123,14.170447626112715,0.0
6,Colorado,CO,3,5812069,19.373479564678256,18.333771133333563,0.1548501919024017,0.16632057648776477,14.327479594615964,0.0
7,Connecticut,CT,4,3605597,41.407844526163075,27.05317791834671,0.6378971360360018,0.44375452941634913,16.649198454513915,0.0
8,Delaware,DE,4,1003384,27.706242076812067,27.407253852961578,2.292243049520423,1.0464587834767147,13.220760944962247,0.0
9,District of Columbia,DC,2,1340100,7.387508394895904,8.133721364077307,0.2238638907544213,0.16167947665597096,5.386239832848295,0.0
10,Florida,FL,4,21781128,32.72557784886072,26.913206698936808,0.5830735671724624,0.6901999443432559,12.990511786166447,0.0
11,Georgia,GA,4,10799566,32.149440079351336,27.625448758112793,1.2130117080630833,0.9599151175766384,11.02825798740431,0.0
12,Hawaii,HI,2,1441553,2.9828941426364484,3.6171307709711087,0.27747852489641384,0.04624642081606897,15.703619637987643,0.0
13,Idaho,ID,3,1900923,17.780835941276948,13.887990202654183,0.0,0.20165642339712517,12.235740216726295,0.0
14,Illinois,IL,3,12671469,15.633546513036492,14.267147264907823,0.3709120071240359,0.39984840484293227,14.223859917109847,0.0
15,Indiana,IN,3,6805985,14.869265800615194,13.8638481949553,0.24978015672970189,0.4897650131954938,13.05052832176386,0.0
16,Iowa,IA,3,3193079,22.016367274345544,16.817623366036354,0.46976601581107136,0.4906445054026745,14.456923865648172,0.0
17,Kansas,KS,4,2934582,37.688502144428064,20.07100159409415,2.7601886742302653,0.6928868688396962,12.997762543353705,0.0
18,Kentucky,KY,4,4509394,28.806531431939636,26.851881713089227,1.1087964369491776,0.46199851539549064,13.337091414056967,0.0
19,Louisiana,LA,3,4624047,18.966070197815895,18.249320191969133,0.5406519440654475,0.4036867849022008,12.69716765422151,0.0
20,Maine,ME,2,1372247,11.951201205030873,10.70194672366876,1.2388440273507613,0.07287317807945654,15.232243174880326,0.0
21,Maryland,MD,3,6165129,13.9818647752545,12.769979578459985,0.4379470405242129,0.3568457367234327,12.831377899797392,0.0
22,Massachusetts,MA,4,6984723,30.09424997956254,24.43905076836977,0.8876515217568398,0.6204016012278989,15.617068851549304,0.0
23,Michigan,MI,3,10050811,15.212702736127463,11.969183382316116,0.08954501283528264,0.36481301525485527,13.042191321675434,0.0
24,Minnesota,MN,3,5707390,13.210942304626107,13.681510162388463,0.15769029276078908,0.1284883866939763,14.120026842392056,0.0
25,Mississippi,MS,3,2949965,22.678235165501963,12.072782461583683,0.9491638036383482,0.29943858090971703,12.215365267045541,0.0
26,Missouri,MO,3,6168187,13.439929755696447,11.147058747917802,0.518791015901431,0.9592229721094165,11.678828803342052,0.0
27,Montana,MT,3,1104271,18.292611143460256,17.697519126063387,0.18111496181643816,0.18111496181643816,15.390968340199098,0.0
28,Nebraska,NE,3,1963692,21.541056336737125,14.877223981299366,0.3564713814590068,0.22067275995081373,13.525644551182161,0.0
29,Nevada,NV,3,3143991,12.786296143977511,11.97295321228882,0.6043274296904794,0.6732419611464112,12.908402091481813,0.0
30,New Hampshire,NH,3,1388992,24.118209464129382,23.58339202611884,0.14398931023360825,0.08399376430293815,14.221176219877435,0.0
31,New Jersey,NJ,4,9267130,33.645799724402266,31.156201696595538,0.6150771598110742,0.699605307504409,13.554045319316769,0.0
32,New Mexico,NM,3,2115877,21.078730001791218,16.53485258628658,0.6616641704598141,0.6459102616393423,19.603975089289214,0.0
33,New York,NY,4,19835913,30.948915736825427,37.44218882186063,0.5948806087221697,0.6343712706006189,12.231123417409623,0.0
34,North Carolina,NC,4,10551162,31.35199705966035,27.11685079939875,0.8814195062117329,0.4659834307033355,13.010737585111478,0.0
35,North Dakota,ND,3,774948,14.83970537377992,11.613682466436458,0.12904091629373843,0.1720545550583179,16.163923256786262,0.0
36,Ohio,OH,3,11780017,15.636649760352638,18.05478840019622,0.6451603592762217,0.6494048353240917,12.827562133399297,0.0
37,Oklahoma,OK,3,3986639,20.016861321027562,18.461666581799857,0.928100086313308,0.5769270806812455,14.961048642728874,0.0
38,Oregon,OR,2,4246155,9.985504532924493,9.460659955048408,0.7771737018549724,0.08635263353944138,13.35212680648728,0.0
39,Pennsylvania,PA,3,12964056,21.70616973576788,19.753518056826838,0.6402317299462452,0.50010068865279,13.193239831731674,0.0
40,Rhode Island,RI,4,1095610,41.62064968373783,29.70295738707856,1.0040069002656054,1.8863159944384105,13.555644800613356,0.0
41,South Carolina,SC,4,5190705,41.073418735990586,45.892472354773716,0.789873437230588,0.7706082314444762,12.814001180957115,0.0
42,South Dakota,SD,3,895376,29.261449938349926,17.91745271579442,0.1116849234288165,0.35366892419125223,17.780351494791017,0.0
43,Tennessee,TN,3,6975218,21.16062895812002,17.449531428879457,0.9605434554160172,0.5161129014175615,10.910153632474282,0.0
44,Texas,TX,4,29527941,25.724787244732035,21.937091477429558,1.1006524295073605,0.6084632405174023,11.277626841641277,0.0
45,Utah,UT,3,3337975,24.326125869726408,22.90524730027722,0.4194159632711449,0.29458978372616135,10.679319048225345,0.0
46,Vermont,VT,3,645570,11.92744396424865,17.083463340259662,0.30980373933113375,0.20653582622075584,14.569140449525225,0.0
47,Virginia,VA,4,8642274,22.065951623380606,22.074216643840337,1.7240832678991664,1.1243182832049372,13.961047752015268,0.0
48,Washington,WA,3,7738692,11.138833280869687,10.391198630761595,0.5298052952617832,0.2649026476308916,13.39456331896915,0.0
49,West Virginia,WV,3,1782959,13.629029046657832,15.840441167103194,0.6169519321532352,0.4580400708410383,16.188257834308022,0.0
