state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,9373.700985162932,9268.16836431297,168.95253594482566,162.41137101824773,0.0,0.0
2,Alaska,AK,4,732673,7490.381111355271,7448.8892043244405,36.71487826083396,36.350914164072286,0.0,0.0
3,Arizona,AZ,4,7276316,10731.69444537593,10621.438494032263,193.10596186311864,187.65906630040072,0.0,0.0
4,Arkansas,AR,4,3025891,10137.047236665167,9986.904919670176,167.7522422321227,164.90459614484902,0.0,0.0
5,California,CA,4,39237836,8709.86616081478,8616.252799611942,112.5240443942933,108.84732107380574,0.0,0.0
6,Colorado,CO,4,5812069,7014.730898755675,6942.224139852042,100.27410204524413,99.33353050924437,0.0,0.0
7,Connecticut,CT,4,3605597,7193.5937377360815,7145.783149285483,200.0778234505964,198.86674338073092,0.0,0.0
8,Delaware,DE,4,1003384,8032.218971002129,7907.099518087933,120.39259147046396,114.0640073989619,0.0,0.0
9,District of Columbia,DC,4,1340100,2838.2210282814713,2795.697549223405,71.0394746660697,69.42267989950999,0.0,0.0
10,Florida,FL,4,21781128,8162.915162153218,8050.780080286543,127.15135781764839,124.59027221485805,0.0,0.0
11,Georgia,GA,4,10799566,8491.665313217216,8366.501553329615,135.57952236228752,131.74603497955383,0.0,0.0
12,Hawaii,HI,4,1441553,1831.219525053883,1812.004137204806,28.788396958002934,28.487795222698484,0.0,0.0
13,Idaho,ID,4,1900923,8693.618836744045,8654.449894678984,93.06005556248202,92.13068248073876,0.0,0.0
14,Illinois,IL,4,12671469,9067.196549981694,8999.002855492581,171.55074916728282,169.4160321901115,0.0,0.0
15,Indiana,IN,4,6805985,9445.583556237636,9357.639951139643,173.62659482793453,159.6854337273248,0.0,0.0
16,Iowa,IA,4,3193079,10165.42340480771,10109.713629294574,159.97098725086352,156.63042891620702,0.0,0.0
17,Kansas,KS,4,2934582,9696.78134739462,9623.205524427573,139.74733028417674,134.090647322174,0.0,0.0
