state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,1,5039877,0.23810104889464564,0.23810104889464564,0.0,0.0,0.0,0.0
2,Alaska,AK,1,732673,0.40945960885688437,0.1754826895100933,0.0,0.0,0.0,0.0
3,Arizona,AZ,1,7276316,0.10994574727100911,0.03730302139552095,0.0,0.0,0.0,0.0
4,Arkansas,AR,1,3025891,0.36352928773706655,0.15107710659202764,0.0,0.0,0.0,0.0
5,California,CA,1,39237836,0.41031824486956925,0.25157933203626653,0.007645681581420546,0.00424760087856697,0.0,0.0
6,Colorado,CO,1,5812069,0.567784036975473,0.4473449988291605,0.0,0.008602788439022317,0.0,0.0
7,Connecticut,CT,1,3605597,0.776570426478611,0.3684747431760756,0.027734658088521817,0.0,0.0,0.0
8,Delaware,DE,1,1003384,0.9966274128349665,0.3559383617267738,0.0,0.0,0.0,0.0
9,District of Columbia,DC,1,1340100,0.37310648459070217,0.2771648171245216,0.0,0.0,0.0,0.0
10,Florida,FL,1,21781128,0.5325711322205168,0.19676273357900867,0.004591130450176869,0.003060753633451246,0.0,0.0
11,Georgia,GA,1,10799566,0.47224119932226905,0.2142943257428784,0.018519262718520356,0.0015432718932100297,0.0,0.0
12,Hawaii,HI,1,1441553,0.13873926244820692,0.13873926244820692,0.0,0.0,0.0,0.0
13,Idaho,ID,1,1900923,0.10521204698980444,0.10521204698980444,0.0,0.0,0.0,0.0
14,Illinois,IL,1,12671469,1.0022515937181395,0.294249343037609,0.0,0.0013152908054043825,0.0,0.0
15,Indiana,IN,1,6805985,0.13223655356278333,0.05877180158345926,0.0,0.004897650131954938,0.0,0.0
16,Iowa,IA,1,3193079,0.28185960948664285,0.1073750893282449,0.0,0.0,0.0,0.0
17,Kansas,KS,1,2934582,0.17038201692779414,0.1022292101566765,0.0,0.005679400564259806,0.0,0.0
18,Kentucky,KY,1,4509394,0.19958335865085197,0.08870371495593421,0.0,0.0036959881231639256,0.0,0.0
19,Louisiana,LA,1,4624047,1.8165905320599036,0.8248803946598542,0.04325215552523579,0.018021731468848248,0.0,0.0
20,Maine,ME,1,1372247,0.8016049588740219,0.4476495224880902,0.0,0.0,0.0,0.0
21,Maryland,MD,1,6165129,0.4541673012843689,0.16683696781874774,0.016220260760156032,0.0,0.0,0.0
22,Massachusetts,MA,1,6984723,0.5440444810767728,0.32929008065173093,0.0,0.0,0.0,0.0
23,Michigan,MI,1,10050811,0.14924168805880442,0.11086525398654043,0.009949445870586961,0.0,0.0,0.0
24,Minnesota,MN,1,5707390,0.2978594418814905,0.1802174774409018,0.0,0.0,0.0,0.0
25,Mississippi,MS,1,2949965,0.440683194546376,0.15980819142890557,0.0,0.0,0.0,0.0
26,Missouri,MO,1,6168187,0.08106109623459859,0.046320626419770625,0.016212219246919717,0.0,0.0,0.0
27,Montana,MT,1,1104271,0.3622299236328763,0.3622299236328763,0.0,0.0,0.0,0.0
28,Nebraska,NE,1,1963692,0.3564713814590068,0.14549852304449257,0.0,0.0,0.0,0.0
29,Nevada,NV,1,3143991,0.8587810842969971,0.3407861445623004,0.0,0.005301117804302451,0.0,0.0
30,New Hampshire,NH,1,1388992,0.9359305165184537,0.3496883248530486,0.0,0.0,0.0,0.0
31,New Jersey,NJ,1,9267130,1.715741551051944,0.6227848936432931,0.021581654730213132,0.003596942455035522,0.0,0.0
32,New Mexico,NM,1,2115877,0.23630863230707644,0.16204020501056673,0.0,0.0,0.0,0.0
33,New York,NY,1,19835913,5.101857423956235,1.5628219381684119,0.07057905527212183,0.015124083272597537,0.0,0.0
34,North Carolina,NC,1,10551162,0.22746309837722137,0.07852892682070738,0.0,0.0,0.0,0.0
35,North Dakota,ND,1,774948,0.25808183258747686,0.11060649968034722,0.0,0.0,0.0,0.0
36,Ohio,OH,1,11780017,0.1952458982020145,0.10429284003337418,0.0,0.0,0.0,0.0
37,Oklahoma,OK,1,3986639,0.2759216472823348,0.09675174644964987,0.0,0.0,0.0,0.0
38,Oregon,OR,1,4246155,0.18840574590423573,0.18167696926479873,0.023550718238029466,0.007850239412676489,0.0,0.0
39,Pennsylvania,PA,1,12964056,0.2931181414211725,0.1355395917097903,0.007713635300557171,0.0,0.0,0.0
40,Rhode Island,RI,1,1095610,0.9127335456960048,0.36509341827840197,0.0,0.0,0.0,0.0
41,South Carolina,SC,1,5190705,0.25044767521945477,0.13760861275794217,0.0,0.0032108676310186515,0.0,0.0
42,South Dakota,SD,1,895376,0.0,0.047864967183778494,0.0,0.0,0.0,0.0
43,Tennessee,TN,1,6975218,0.35841173709552876,0.18432603622055765,0.0,0.0,0.0,0.0
44,Texas,TX,1,29527941,0.20319737160135887,0.0643458343404303,0.003386622860022648,0.000564437143337108,0.0,0.0
45,Utah,UT,1,3337975,0.4194159632711449,0.2567852836353948,0.0,0.0,0.0,0.0
46,Vermont,VT,1,645570,0.7745093483278344,0.37619025490209096,0.0,0.0,0.0,0.0
47,Virginia,VA,1,8642274,0.12728131507980422,0.11240427825229464,0.0,0.003857009547872856,0.0,0.0
48,Washington,WA,1,7738692,1.5248054839241567,1.270055899442881,0.18090912521134062,0.053842001550994244,0.0,0.0
49,West Virginia,WV,1,1782959,0.056086539286657744,0.056086539286657744,0.0,0.0,0.0,0.0
50,Wisconsin,WI,1,5895908,0.5766711420870203,0.24229879919622704,0.0,0.0,0.0,0.0
51,Wyoming,WY,1,578803,0.34554071074268794,0.39490366942021476,0.0,0.0,0.0,0.0
