state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,20.476690204939526,66.76466792457718,0.09920877037276903,0.9623250726158595,0.0,0.0
2,Alaska,AK,4,732673,50.63650496196803,34.687078293161775,0.1364865362856281,0.3184685846664656,0.0,0.0
3,Arizona,AZ,4,7276316,86.36238448137766,83.3820694035671,0.20614827613314207,1.0376129898701485,0.0,0.0
4,Arkansas,AR,4,3025891,23.199778181038248,65.41166599476698,0.09914435120101814,1.3604808192584157,0.0,0.0
5,California,CA,4,39237836,165.62075441673184,102.93199073028828,0.6549800554750267,0.5577099953558432,0.0,0.0
6,Colorado,CO,4,5812069,26.496588392188738,40.602703492631335,0.3613171144389373,0.6624147098047185,0.0,0.0
7,Connecticut,CT,4,3605597,0.0,39.46641845996654,0.0,0.9707130330982636,0.0,0.0
8,Delaware,DE,4,1003384,81.72344785246725,61.74818699236071,0.3986509651339866,0.5481450770592317,0.0,0.0
9,District of Columbia,DC,3,1340100,20.44623535557048,14.583133454859446,0.4477277815088426,0.3233589533119419,0.0,0.0
10,Florida,FL,4,21781128,78.2420451319142,46.84461573471179,0.6427582630247617,0.3994283491653876,0.0,0.0
11,Georgia,GA,4,10799566,35.99218709344431,59.06851124520057,0.45372193660374865,0.38427470140929737,0.0,0.0
12,Hawaii,HI,2,1441553,7.561289803427276,8.730663586919304,0.0,0.04624642081606897,0.0,0.0
13,Idaho,ID,4,1900923,26.460829817935817,49.23923799122847,0.21042409397960887,0.6400399525213102,0.0,0.0
14,Illinois,IL,4,12671469,27.005550816562785,44.92206637040831,0.5524221382698407,1.0903760776802331,0.0,0.0
15,Indiana,IN,4,6805985,56.450315420912624,71.7876566412818,0.4554814622718093,1.0578924285022668,0.0,0.0
16,Iowa,IA,4,3193079,16.50444602216231,35.04901874156126,0.0,1.1013403259570673,0.0,0.0
17,Kansas,KS,4,2934582,0.5111460507833825,45.959332051865836,0.0,0.9427804936671276,0.0,0.0
18,Kentucky,KY,4,4509394,80.47644539377131,45.638061344828145,0.8648612208203585,0.5359182778587691,0.0,0.0
19,Louisiana,LA,4,4624047,0.0,43.4529691044601,0.0,1.0020082696679624,0.0,0.0
20,Maine,ME,4,1372247,0.0,29.23255486387342,0.0,0.32792930135755444,0.0,0.0
21,Maryland,MD,4,6165129,36.982194533155756,38.65519857156041,0.3406254759632767,0.6677340679597566,0.0,0.0
22,Massachusetts,MA,4,6984723,109.91130213753645,62.03743308278449,0.6728971213317979,0.7301649614451424,0.0,0.0
23,Michigan,MI,4,10050811,72.97918546075536,28.675724348441708,2.7261481685408273,0.5638019326665944,0.0,0.0
24,Minnesota,MN,4,5707390,37.5302896770678,29.81097439334917,0.9987051874849976,0.7884514638039454,0.0,0.0
25,Mississippi,MS,4,2949965,28.644407645514438,62.52858690090995,0.10169612181839445,0.9717629418202137,0.0,0.0
26,Missouri,MO,4,6168187,26.42591737247914,41.276310202657605,0.14590997322227747,1.0727085068378548,0.0,0.0
27,Montana,MT,4,1104271,41.20365381323968,36.39117054211719,0.09055748090821908,0.8150173281739718,0.0,0.0
28,Nebraska,NE,4,1963692,15.888438716458591,42.478293802839616,0.0509244830655724,0.755379832139324,0.0,0.0
29,Nevada,NV,4,3143991,71.62870377173472,64.36314316966647,0.25445365460651764,1.0019112650131632,0.0,0.0
30,New Hampshire,NH,4,1388992,74.22648942542506,44.47212696072301,0.7919412062848454,0.47996436744536086,0.0,0.0
31,New Jersey,NJ,4,9267130,43.15251863306115,48.59109562507486,0.19423489257191817,0.758954858012495,0.0,0.0
32,New Mexico,NM,4,2115877,28.59334450915625,56.018649207194656,0.42535553815273763,1.213050979176326,0.0,0.0
33,New York,NY,4,19835913,55.696957331885855,56.33721019042582,0.6604183029034257,0.7074710064181736,0.0,0.0
34,North Carolina,NC,4,10551162,158.45648090703185,55.55650783162217,1.4595548812538373,0.31276176026867947,0.0,0.0
35,North Dakota,ND,4,774948,17.16244186706721,28.905165249797403,0.0,0.7312318589978509,0.0,0.0
36,Ohio,OH,4,11780017,93.53127419086069,60.92520919112427,0.1697790419147952,0.6013007734482331,0.0,0.0
37,Oklahoma,OK,4,3986639,99.20637409105767,73.96133506373235,0.7274297973807009,0.5811077117006748,0.0,0.0
38,Oregon,OR,4,4246155,12.128619892585174,21.982913281040645,0.0,0.3571858932767802,0.0,0.0
39,Pennsylvania,PA,4,12964056,54.5893970220431,61.9933849626779,0.17741361191281493,1.3151748187449976,0.0,0.0
40,Rhode Island,RI,4,1095610,0.0,55.4681214770115,0.0,1.2017658351664064,0.0,0.0
41,South Carolina,SC,4,5190705,74.4407551575364,50.51612174344057,1.5604816686750644,0.4752084093907603,0.0,0.0
42,South Dakota,SD,4,895376,46.57261306981648,41.913756263928704,1.786958774861064,1.4891323123842202,0.0,0.0
43,Tennessee,TN,4,6975218,71.3669450904617,105.98337469268243,0.21504704225731724,0.9892163943836594,0.0,0.0
44,Texas,TX,4,29527941,19.415508856509838,40.29936062447236,0.06773245720045296,0.6778890091478665,0.0,0.0
45,Utah,UT,3,3337975,104.52444970378747,64.65853441939242,0.20970798163557244,0.28460368936256264,0.0,0.0
46,Vermont,VT,3,645570,28.65684588812987,13.78626640023545,0.15490186966556688,0.30980373933113375,0.0,0.0
47,Virginia,VA,4,8642274,18.32850937149181,43.978173866210284,0.23142057287237133,0.3413453449867477,0.0,0.0
