state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,35.83420785864417,29.95821411627988,0.5754108681620603,0.29762631111830706,62.20784753278701,50.738202539466734
2,Alaska,AK,3,732673,190.67169119102246,27.238813027288924,0.0,0.0,71.38546118118178,63.27352038358176
3,Arizona,AZ,1,7276316,50.382638686939934,7.197519812419991,0.6596744836260547,0.0,75.50390884617985,63.14299708808689
4,Arkansas,AR,3,3025891,34.4361379838203,27.189158026983982,0.2643849365360484,0.09914435120101815,68.03605946149415,55.455533593245754
5,California,CA,2,39237836,53.84343825689062,19.763358727821497,0.09174817897704654,0.06201497282707776,84.6789996267888,74.02475763444242
6,Colorado,CO,2,5812069,14.693562653850117,15.39161748718793,0.1548501919024017,0.043013942195111586,80.62746674205003,70.92704852609286
7,Connecticut,CT,2,3605597,25.432681467174508,16.27628220394966,0.6933664522130454,0.0,96.95800723153475,79.87392933819282
8,Delaware,DE,3,1003384,14.451097486107013,17.013853690539783,0.1993254825669933,0.4650927926563177,82.79801152898591,68.79709064525645
9,District of Columbia,DC,2,1340100,18.65532422953511,5.948383382903195,0.0,0.012436882819690074,55.38989627639729,41.520632788597865
10,Florida,FL,2,21781128,0.0,17.096058044901465,0.0,0.2724070733771609,79.77320091043953,67.2323168937807
11,Georgia,GA,2,10799566,111.4952211968518,15.9278887424074,0.9259631359260179,0.0,65.81797824097745,55.103001361351
12,Hawaii,HI,2,1441553,82.06427373811438,11.723467676873483,0.763065943465138,0.0,87.87196863382755,78.29798835006413
13,Idaho,ID,2,1900923,47.39802716890689,11.543264584024257,0.3156361409694133,0.035070682329934814,58.70264076977342,51.8405006410044
14,Illinois,IL,3,12671469,20.79474763344329,24.13972005027312,0.20518536564308368,0.06971041268643229,77.2283860695236,69.60037545765215
15,Indiana,IN,2,6805985,83.39718644692869,19.7935031761436,0.0,0.15917362928853548,62.481991952671066,56.21890145217775
16,Iowa,IA,2,3193079,31.944089075152853,18.683265543114608,0.8768965628473332,0.0,68.36442192629747,62.20425489002934
17,Kansas,KS,3,2934582,143.73426948028714,21.08842563803441,0.7837572778678531,0.005679400564259806,73.62850995473971,62.873485900206575
18,Kentucky,KY,3,4509394,3.8586116005831386,38.54493213817326,0.0,0.2882870736067862,66.81953273544072,57.86209854361806
19,Louisiana,LA,3,4624047,35.185628519779314,28.564959284737863,0.08650431105047159,0.08650431105047159,62.36999753678975,54.64596272485984
20,Maine,ME,2,1372247,32.42856424535816,12.992246606165967,0.8016049588740219,0.012145529679909423,91.3177438172574,79.5833403170129
21,Maryland,MD,2,6165129,47.00631568293218,15.024595824121674,0.3406254759632767,0.0486607822804681,87.18493968252733,75.8269291688787
22,Massachusetts,MA,2,6984723,0.0,17.879837795387775,0.0,0.1741896803447562,99.96649831353369,79.75205315944527
23,Michigan,MI,3,10050811,81.51581001771896,22.53407354746938,0.4576745100470002,0.06135491620195293,67.66103750234682,60.720990574790434
24,Minnesota,MN,3,5707390,0.0,21.010354244985137,0.0,0.12264800548061372,75.8426706427982,69.51674933726274
