state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,15.516251686301075,12.029772041772334,0.7143031466839369,0.5191925649508246,14.827107883783672,8.335183576900786
2,Alaska,AK,2,732673,20.745953515415472,17.09981318892798,0.0,0.0,25.23717947843035,16.01601260043703
3,Arizona,AZ,3,7276316,11.406871279367197,15.842004191603083,1.0719710358923389,0.5428571271506075,19.72360738593541,10.310396085051831
4,Arkansas,AR,3,3025891,10.476253110240917,11.080561536609027,0.8262029266751513,0.5287698730720968,16.578687071014787,9.247358877104297
5,California,CA,3,39237836,8.83840790812215,10.601647712827852,0.6549800554750267,0.6600771765293071,18.859954458242804,8.779258366847754
6,Colorado,CO,2,5812069,19.476713025946527,18.35589258931962,0.13764461502435707,0.06021951907315622,18.270722525833744,10.063060159815722
7,Connecticut,CT,3,3605597,14.20014494132317,19.94914335367248,0.36055055515078366,0.28196902389997186,24.89396346846306,9.585402916632114
8,Delaware,DE,4,1003384,21.12850115210129,20.872225531658014,0.9966274128349665,0.6976391889844765,17.345004504755906,10.32725257727849
9,District of Columbia,DC,3,1340100,7.163644504141482,12.664300105535833,0.07462129691814044,0.16167947665597096,7.640623834042236,3.940974554137751
10,Florida,FL,4,21781128,22.280756074708346,21.95347406118859,0.2708766965604353,0.47594719000166874,17.262852502404836,9.52550758620031
11,Georgia,GA,3,10799566,17.037721701038727,17.835372802414998,0.675953089225993,0.5231691717982,13.149769166649843,8.43203328726358
12,Hawaii,HI,2,1441553,2.8441548801882415,3.91442919050298,0.20810889367231036,0.04624642081606897,19.9140094051346,12.484105683245778
13,Idaho,ID,3,1900923,24.146164784160117,14.571868508087915,0.4734542114541199,0.13151505873725552,15.993914535202109,9.377549748201268
14,Illinois,IL,3,12671469,13.171322125319488,12.854524939903516,0.22096885530793628,0.24464408980521515,19.05705644704651,9.20961097722766
15,Indiana,IN,3,6805985,12.768173894006527,11.981051551370909,0.19100835514624262,0.31589843351109353,17.07273818558225,10.637916480862064
16,Iowa,IA,3,3193079,15.251736646666117,15.072778164452375,0.8455788284599284,0.3862520574446586,20.464698806387187,9.816042759981823
17,Kansas,KS,2,2934582,25.14838569854242,10.140164036017008,1.1926741184945588,0.0,17.758815395173826,9.037573323900986
18,Kentucky,KY,3,4509394,22.375512097634406,17.512647724157297,0.5543982184745888,0.547006242228261,19.35550541824467,9.93987218681712
19,Louisiana,LA,3,4624047,12.716133724419326,11.563772723639827,0.9299213437925696,0.36403897567073457,17.545258514889664,10.060819018491811
20,Maine,ME,3,1372247,14.210269725494024,12.107358015201138,0.0,0.21861953423836963,21.168127895342455,11.087799791145473
21,Maryland,MD,3,6165129,14.59823468414043,12.999380409210763,0.22708365064218444,0.18653299874179438,18.514924829634545,10.495806332681767
22,Massachusetts,MA,4,6984723,23.723202766952962,21.518390922589198,0.7587988815018147,0.4867766409634284,21.628602880887332,10.121589646432652
23,Michigan,MI,3,10050811,26.266537098349573,16.62836674857098,0.06964612109410873,0.23547021893722475,17.96230174858526,10.044990399282208
24,Minnesota,MN,3,5707390,15.856634994279348,16.467372001162403,0.15769029276078908,0.5519160246627618,20.454305733443835,10.579284051028578
25,Mississippi,MS,3,2949965,14.813735078212794,13.414202735092983,0.37288578000077965,0.5141303936374387,17.26657773905792,9.504282254196236
26,Missouri,MO,4,6168187,10.586579168238575,114.70839926591998,0.21075885020995636,0.405305481172993,16.83570877471776,8.823013958558649
27,Montana,MT,3,1104271,13.130834731691767,11.707788603134038,0.18111496181643816,0.18111496181643816,19.983500426978523,11.194444117431319
28,Nebraska,NE,2,1963692,17.21247527616347,14.273405110664722,0.509244830655724,0.06789931075409654,19.745000743497453,10.662721037718747
29,Nevada,NV,3,3143991,10.528019959344668,11.182329356904287,0.4771006023872206,0.3498737750839618,17.330870221956744,9.491216736943585
30,New Hampshire,NH,3,1388992,15.190872229645672,15.149732426721785,0.14398931023360825,0.11999109186134022,20.864986983366354,8.88637227572225
