state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,10886.317265282467,10880.80125764974,224.3308715669053,224.02332437874972,37.87800773709358,30.930933433494506
2,Alaska,AK,4,732673,9592.956202835372,9583.012183763132,48.589206917683605,48.589206917683605,47.673245772670754,41.56629219310661
3,Arizona,AZ,4,7276316,12227.712485274142,12209.528244002282,245.22024606957697,244.64532143280564,48.603579063910914,38.894531243557864
4,Arkansas,AR,4,3025891,11421.594498942624,11398.465538155302,194.12463965159353,193.97041510528084,40.952896188263225,33.09018732003235
5,California,CA,3,39237836,9706.786582216206,9700.613968619471,161.41817810747767,161.1675696556422,60.28873508722551,48.245122386463926
6,Colorado,CO,4,5812069,9583.592348955252,9561.323416595955,118.30554661343491,117.92415632597158,56.337614023508664,49.445971821738524
7,Connecticut,CT,3,3605597,9670.104562434459,9668.048235641894,229.3656223920754,229.2593062027361,65.15597833035694,58.023900064261206
8,Delaware,DE,4,1003384,10917.85398212449,10909.724349942653,167.73239358012486,167.38357398563264,55.431420074467994,46.25078733565614
9,District of Columbia,DC,4,1340100,3674.5765241399895,3673.2440009807365,85.14289978359824,85.03096783822103,31.62547571076785,26.596671890157452
10,Florida,FL,4,21781128,10609.556125835172,10599.183450396666,172.4199040563923,171.96002582296623,51.566943640384466,43.14795817737263
11,Georgia,GA,4,10799566,10246.74510068275,10237.255301343988,191.00767567881894,190.31783314255404,41.25252811085186,34.21322671670325
12,Hawaii,HI,3,1441553,2499.804030791792,2489.0814677940093,35.37851192429276,35.02010216296822,67.72841511897238,49.79359066229268
13,Idaho,ID,4,1900923,10209.987463984602,10206.049527368697,111.7877999266672,111.68258787967738,36.66560928559442,33.02543027781767
14,Illinois,IL,4,12671469,10991.09345569957,10988.70676658382,201.76034838581066,201.51570429600545,58.08841105952277,44.113859253414105
15,Indiana,IN,4,6805985,11087.05058856286,11075.415870842251,202.68925071095515,202.23866689881527,43.245878443752076,38.41310258544502
16,Iowa,IA,4,3193079,11684.678017675104,11678.311569670348,191.4766280445927,191.26784314867663,50.157919675648486,46.270292717467996
17,Kansas,KS,4,2934582,10839.840222559806,10833.652921316514,175.93647067964022,175.8569590717406,48.05488481834892,40.510028344752335
18,Kentucky,KY,4,4509394,10296.084130151414,10289.960405829634,160.26543699663415,160.1249894479539,48.19612125265612,41.5777818482927
19,Louisiana,LA,4,4624047,10325.435705995204,10314.567057199647,231.13951912686008,230.8151279604208,37.59090251461544,33.81568137175076
20,Maine,ME,3,1372247,5015.569354496676,5007.51166309189,62.23369407985589,62.03936560497733,64.32500854438013,58.60504705056743
21,Maryland,MD,4,6165129,7493.04677971864,7489.888463230627,157.4500711988346,157.28246183764634,59.27460723044076,52.71334955035004
22,Massachusetts,MA,3,6984723,10156.379859301507,10153.228082815269,257.29008866922857,257.0657896287846,68.45127573419877,58.78351940370435
23,Michigan,MI,4,10050811,9915.85654132786,9913.19151118395,207.42604750999695,207.1391718207284,50.41374273180542,45.54310094976415
24,Minnesota,MN,4,5707390,10593.318487084289,10587.614103319182,133.82649512298968,133.4819126314013,55.55194230637822,49.437273429711304
25,Mississippi,MS,4,2949965,10845.823594517224,10837.261749594605,249.86737130779517,249.68657820234023,35.75008517050202,29.116243752044518
26,Missouri,MO,4,6168187,10152.18896573661,10122.17551584792,159.62551070517156,159.34720094143276,43.84687104979145,37.76307365519236
27,Montana,MT,4,1104271,10257.898649878518,10248.118441940429,149.51040097946972,149.29910019068387,45.558110282711404,40.146214108674414
28,Nebraska,NE,4,1963692,11424.55130437971,11422.03417993104,128.27877284217686,128.20238611757853,49.321329414185115,44.474693587385396
29,Nevada,NV,4,3143991,10460.430707339812,10444.954472561421,179.67608685902727,179.34741755516052,47.107005077304606,39.422759161842386
30,New Hampshire,NH,3,1388992,7145.757498963278,7142.939422462991,98.41669354467123,98.28470334362379,60.29278786342902,53.52169054969359
31,New Jersey,NJ,3,9267130,11019.398670354252,11012.466334545554,284.5972809273205,284.4012475635211,60.94344203653127,51.939424611503235
32,New Mexico,NM,4,2115877,9674.380883198786,9667.089073973311,204.07613486039122,203.7216719119306,59.86765771356275,51.41333829896539
33,New York,NY,4,19835913,10637.619755642203,10632.17148469186,267.3232132042523,267.20474121861696,57.639096319892104,50.82263669940477
34,North Carolina,NC,4,10551162,9581.115331183428,9576.897786234349,126.61164713422086,126.39524126979255,44.31600045568441,38.25247873172642
35,North Dakota,ND,4,774948,14271.66726025488,14264.772788441473,200.52958392046952,200.4005430041758,42.62982806588313,37.5133557348364
36,Ohio,OH,4,11780017,9413.41595687001,9406.923121224212,171.188207962688,170.895339115385,47.247826552372544,43.079538849561935
37,Oklahoma,OK,4,3986639,11426.5425086144,11419.992057039955,184.46616310129912,184.22368650217223,43.658605657547625,36.873592015730544
38,Oregon,OR,4,4246155,4869.7468651050185,4851.744023206205,65.56519957467403,65.30221655434936,57.19751163111096,50.86832675679527
39,Pennsylvania,PA,3,12964056,9371.303240282208,9366.431528615956,213.05832063668964,212.7832009776364,60.941675969310836,47.61812969644686
40,Rhode Island,RI,3,1095610,13908.507589379431,13905.10439715905,248.62861784759176,248.56776894454538,61.45252416462063,54.985533173300716
41,South Carolina,SC,4,5190705,11471.428254928762,11469.680625546736,188.64489505760778,188.60636464603556,42.402178509470296,36.45317928874787
42,South Dakota,SD,4,895376,13892.822680080772,13891.801560780852,226.38533979021102,226.32949732849661,49.178557388181055,43.9197610836118
43,Tennessee,TN,4,6975218,12230.49946252576,12227.171353538446,177.9872686416396,177.88691335525286,39.94930337661131,33.62072697942917
44,Texas,TX,4,29527941,10091.025310569403,10079.851874147656,177.0932825963043,176.78961541318893,46.25853187663847,38.737702706734616
45,Utah,UT,4,3337975,12333.225982818925,12305.784195507757,69.80279960155484,69.64302209173725,45.47541548393861,34.465536740089426
46,Vermont,VT,3,645570,3773.4095450532086,3771.971170549171,39.65487863438512,39.65487863438512,70.54850752048577,61.733816627166696
