state_id,state_name,state_abbr,risk_level,population2021,daily_new_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,2,5039877,3.730249766016115,3.0924790993340285,0.6746196385348293,0.22156625383251746,60.755252558743,49.45684190308613
2,Alaska,AK,3,732673,0.0,25.289005366065663,0.0,0.09099102419041873,69.39562396867362,61.8324955334781
3,Arizona,AZ,2,7276316,0.0,5.45213107449272,0.0,0.32525616901006865,72.56652954599552,61.184973274937484
4,Arkansas,AR,1,3025891,2.9412824189635383,2.606080088712477,0.23133681946904236,0.1321924682680242,66.21061366718101,54.01929547363075
5,California,CA,2,39237836,36.77063128557854,11.405536519102924,0.19114203953551365,0.09769482020704029,83.60275525898014,72.04056564179533
6,Colorado,CO,3,5812069,28.991397039505213,22.98665070906763,-0.3613171144389373,0.13190942273167555,78.33503008997312,69.31342349858545
7,Connecticut,CT,2,3605597,11.28800584202838,16.862672117821266,0.0,0.06471420220655091,93.97797368923926,77.88308011128254
8,Delaware,DE,1,1003384,22.523779530070243,-7.047579562190123,0.0,0.21593593944757608,80.25681095173931,66.65224879009432
9,District of Columbia,DC,2,1340100,0.0,16.597908471649237,0.0,0.02487376563938015,51.2496828594881,38.673158719498545
10,Florida,FL,1,21781128,13.40150978406628,9.739099436382332,0.15609843530601353,0.09641373945371423,77.81916987953976,65.74484572148882
11,Georgia,GA,2,10799566,4.537219366037487,4.686696272265544,0.39816414844818765,0.2345773277679245,64.01334090647717,53.5306974372859
12,Hawaii,HI,2,1441553,0.0,12.882931513047783,0.0,0.09249284163213795,85.59830960082633,76.58851252780855
13,Idaho,ID,2,1900923,5.523632466964733,3.239028018043265,0.3156361409694133,0.11397971757228814,57.24156107322601,50.58300625538226
14,Illinois,IL,2,12671469,26.3505359954714,15.73726658797695,0.047350468994557776,0.06444924946481474,76.53783472145179,68.47418401134075
15,Indiana,IN,1,6805985,-0.02938590079172963,2.76437366733628,0.10285065277105371,0.10285065277105371,60.57365686230575,54.05634893406318
16,Iowa,IA,2,3193079,2.6306896885419997,4.03551377391987,0.0,0.10961207035591665,66.9512717975346,60.97932434493478
17,Kansas,KS,2,2934582,0.0,4.098904521520076,0.0,0.45435204514078437,73.64605930248328,60.58477834321889
18,Kentucky,KY,3,4509394,1.5301390829898651,10.330814802546481,0.0,0.595054087829392,65.33809199196166,56.643242972337305
19,Louisiana,LA,1,4624047,10.89954319235942,3.9977349464039373,0.06487823328785369,0.05766954070031439,61.144880231537435,53.59456770227465
20,Maine,ME,3,1372247,25.942851396286528,19.904788069702985,0.0,0.6922951917548371,88.07714646124204,77.50273820966633
21,Maryland,MD,1,6165129,12.570702089120925,9.238597092963158,0.06488104304062413,0.06217766624726479,84.89110284634758,74.38270959131593
22,Massachusetts,MA,2,6984723,46.601704892234096,27.62355173467253,0.028633920056672254,0.06204016012278988,96.3511509332582,77.49033139896886
23,Michigan,MI,2,10050811,0.0,10.933019662364986,0.0,0.13431751925292396,66.34056694529427,59.5414638679406
24,Minnesota,MN,2,5707390,15.103225817755577,10.410062342732092,0.24529601096122744,0.05840381213362558,73.97057148714211,68.097519181272
25,Mississippi,MS,2,2949965,4.169540994554173,3.142894431435143,0.03389870727279815,0.05649784545466358,59.906473466634345,52.067295713677964
26,Missouri,MO,1,6168187,2.8371383682109506,1.9060937771735613,0.032424438493839434,0.029722401952686148,65.62417773650508,55.50498063693594
27,Montana,MT,1,1104271,3.1695118317876685,2.975460086984342,0.09055748090821908,0.06037165393881272,62.925676758694195,54.72796079947766
28,Nebraska,NE,2,1963692,4.328581060573654,3.200967506978837,0.0509244830655724,0.22067275995081373,69.02655813640835,62.4005190223314
29,Nevada,NV,2,3143991,3.8486115259235794,5.448034497735976,0.0,1.9349079985703945,73.35011455185463,59.23207159308026
30,New Hampshire,NH,2,1388992,23.470257568078146,16.939313853910914,0.07199465511680413,0.07199465511680413,88.67704061650463,68.34625397410497
31,New Jersey,NJ,3,9267130,29.458958706740923,20.9049156997443,0.09711744628595909,0.04676025191546177,86.27083034337491,72.14243244672299
32,New Mexico,NM,2,2115877,8.081755224902015,5.813192354754079,0.4726172646141529,0.30720122199919936,86.3393760601396,69.99995746444618
