state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,26892.32296740575,26763.76824275672,391.67622543169205,391.4877287679838,61.4777701916138,50.18150244539699
2,Alaska,AK,3,732673,37278.70414222989,36847.484679873756,170.0622242118926,170.0622242118926,70.14124991640199,62.79144993742092
3,Arizona,AZ,3,7276316,29212.13152369963,29017.598230438896,419.3743097468554,418.5084869870962,74.1021280549113,62.3636054289011
4,Arkansas,AR,3,3025891,28558.695604038614,28459.442666167226,382.69719563593003,382.26206209454784,67.16676179016362,54.84450695679388
5,California,CA,3,39237836,25728.62326046727,25582.148020890567,235.49463838933423,235.17267024273883,83.36652153803793,73.33277757723438
6,Colorado,CO,3,5812069,26486.987680290786,26349.45367254636,223.08750980072674,222.62582682116582,79.28138843499622,70.16642438346827
7,Connecticut,CT,3,3605597,22971.591112373346,22909.52887175926,306.3292985877235,306.07506422191204,95.54839323418562,79.1676662699686
8,Delaware,DE,3,1003384,28377.271313873855,28301.28559241242,297.393619989954,297.2939572486705,81.54335727896797,67.95394385399807
9,District of Columbia,DC,4,1340100,11682.486381613313,11623.45027556579,100.66412954257144,100.66412954257144,52.99455264532498,40.11320050742482
10,Florida,FL,3,21781128,29702.502092637264,29548.543124121028,347.7230380354957,346.92418133716484,78.92807020830142,66.65369672314492
11,Georgia,GA,3,10799566,23828.439031716644,23670.247489575042,343.3008326445711,342.161897987382,64.84613363166632,54.38628737488155
12,Hawaii,HI,3,1441553,20897.323927736266,20585.814643750775,104.12381646737927,103.08327199901773,86.548812287859,77.50058443914305
13,Idaho,ID,4,1900923,24361.48123832475,24264.7237308252,261.7149668871385,261.3291893815092,58.446607253423736,52.45699063034116
14,Illinois,IL,3,12671469,27084.918094342498,26978.289347735226,304.3767064418498,303.9729121645906,76.32793009239892,69.0607537295005
15,Indiana,IN,3,6805985,26038.596911394896,25958.029167395627,350.515024643751,350.4342134165738,61.839616161363864,55.76247964108061
16,Iowa,IA,3,3193079,24935.05484831412,24861.162891008065,303.4062107451773,303.15566887007805,67.53584862760991,61.64532728441733
