state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,56.39026507988191,86.93806274580568,0.019841754074553804,0.6349361303857216,49.09066233164024,38.01104669816347
2,Alaska,AK,3,732673,0.0,75.49655264256457,0.0,0.22747756047604684,54.60294019296467,47.442310553275476
3,Arizona,AZ,3,7276316,42.20542373365863,44.3238426855411,0.01374321840887614,0.48101264431066487,57.34642365724633,49.041025705865444
4,Arkansas,AR,4,3025891,35.42758149583049,68.04135188138446,0.6279142242731149,0.8757751022756604,53.67047259798849,42.361638274478494
5,California,CA,3,39237836,26.88986212185606,35.07183365420196,0.2370161290240369,0.27269597640399945,69.87383809851288,56.730536821653466
6,Colorado,CO,3,5812069,15.96677534282542,31.20845851721896,0.08602788439022317,0.23514288399994335,63.1744048461916,56.80192372113958
7,Connecticut,CT,2,3605597,0.0,17.540190193983726,0.0,0.16640794853113092,73.23586080196982,65.69869011983313
8,Delaware,DE,3,1003384,36.576226051043264,41.07528694326969,0.0,0.23254639632815885,62.577338287235996,54.114376948406594
9,District of Columbia,DC,2,1340100,0.0,14.519172343215322,0.0,0.03731064845907022,35.85851802104321,30.4615327214387
10,Florida,FL,3,21781128,0.0,70.98805902063474,0.0,1.7943668176107928,63.539519165398595,53.013048727320275
11,Georgia,GA,4,10799566,0.0,82.44775762285262,0.0,0.8441697255858863,51.084784333000044,41.3783665010242
12,Hawaii,HI,3,1441553,49.80739521890628,51.73983494586344,0.6936963122410345,0.289040130100431,73.32661372838875,54.68505146879789
13,Idaho,ID,3,1900923,0.0,57.43826251021966,0.0,0.45591887028915257,42.00959218232406,37.159422028141066
14,Illinois,IL,3,12671469,0.0,34.36629396097868,0.0,0.2551664162484502,66.42751523126482,51.58350622173325
15,Indiana,IN,3,6805985,0.0,62.53529587771435,0.0,0.48241853799756146,50.00697180496284,46.120436645099865
16,Iowa,IA,3,3193079,0.0,39.60351211390099,0.0,0.20356527351813095,55.93538399770252,51.481125271250725
17,Kansas,KS,3,2934582,0.0,55.096676216822125,0.06815280677111767,0.46571084626930404,57.426202437008065,48.40001063183786
18,Kentucky,KY,4,4509394,4.7234728214034964,96.91197657917799,0.0,0.6172300165683756,57.246760872968736,48.64369802239503
19,Louisiana,LA,4,4624047,0.0,52.841776293116645,0.0,1.254312510231838,50.28999488975783,42.52149686194799
20,Maine,ME,3,1372247,0.14574635615891307,28.004121290534016,0.0,0.12145529679909424,70.55122000631083,64.852245987785
21,Maryland,MD,2,6165129,13.057309911925605,18.66025141450522,0.1946431291218724,0.17842286836171636,67.29928927683427,60.74135675019938
22,Massachusetts,MA,3,6984723,0.0,24.111805967722088,0.0,0.15987272031642008,74.71802389300191,65.42630251765173
23,Michigan,MI,3,10050811,0.3780789430823045,23.004540202207135,0.0,0.24541966480781166,55.154275610197026,50.45289380130619
24,Minnesota,MN,3,5707390,0.0,28.10391439870063,0.0,0.13140857730065755,61.425239908259286,55.659031536306436
25,Mississippi,MS,4,2949965,0.0,93.09069284357126,0.0,1.47459376636672,48.12874051048063,39.93040595396894
26,Missouri,MO,3,6168187,19.746483042748217,38.786576532594935,0.12969775397535774,0.594448039053723,52.899822913929164,45.44679011839297
27,Montana,MT,3,1104271,0.0,50.15590764016649,0.0,0.4226015775716891,50.94827266133042,44.859912104909036
28,Nebraska,NE,3,1963692,0.0,41.09605783391692,0.0,0.127311207663931,56.918040099974945,51.6416016361018
29,Nevada,NV,4,3143991,0.0,36.51409943603529,0.0,0.7951676706453678,57.27319193979881,47.33187849456312
30,New Hampshire,NH,3,1388992,0.0,22.503472199366776,0.0,0.13199020104747425,66.22579539694972,58.85073492143943
