state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,25645.625875393383,25638.766297556187,381.1600957721786,380.2804446748733,60.54246958804749,49.238661975282334
2,Alaska,AK,3,732673,33411.90408272176,33346.35154915143,161.87303203475494,160.96312179285076,69.06123195477382,61.51216163281573
3,Arizona,AZ,3,7276316,27445.71566160678,27427.786651533945,396.94537730356956,395.40613684177544,72.21003046046928,60.86834326601539
4,Arkansas,AR,3,3025891,27514.309008487086,27497.936027060176,370.46939232113783,368.8720666628992,65.95214434359995,53.777878978456265
5,California,CA,3,39237836,23162.887983934692,23146.81494085017,226.08025580207837,225.59772834227317,83.02284560239255,71.54348929946086
6,Colorado,CO,3,5812069,23163.816534180856,23120.719022040914,209.21981483702277,209.44348733643733,78.06302712510812,69.05666467483438
7,Connecticut,CT,3,3605597,20362.675029960363,20345.693495022162,298.3971863744062,297.9950338321226,93.46266374195451,77.45205578992882
8,Delaware,DE,3,1003384,25849.923857665657,25814.0452708036,283.64016169283144,282.74319702127997,79.87271074683272,66.23974470392193
9,District of Columbia,DC,4,1340100,10172.52443847474,10153.93307535685,99.32094619804492,99.19657736984801,50.86903962390866,38.299529885829415
10,Florida,FL,3,21781128,26818.946199664224,26809.10150422749,335.2764833850662,334.7507989485209,77.4580453317202,65.45886879687774
11,Georgia,GA,3,10799566,22370.34340083666,22362.200216458434,327.4576033888769,326.66436163576697,63.71365293753472,53.2285649256646
12,Hawaii,HI,3,1441553,16202.59539538262,16188.245791666548,95.03639477702173,94.92077872498156,85.36099609240867,76.34252781548788
13,Idaho,ID,4,1900923,23338.13626327842,23324.864515065277,256.1387283966789,255.75295089104964,57.03992218517004,50.3545382953439
14,Illinois,IL,3,12671469,24202.742397112757,24186.565447598405,296.64279650607205,296.3560631104939,76.32913752935828,68.11635651714887
15,Indiana,IN,3,6805985,24892.252921509524,24887.015934189858,343.16854944581866,342.8232651115158,60.366133630914554,53.85963971416334
16,Iowa,IA,3,3193079,23748.050079562705,23739.10662941407,294.44933871037955,293.89605873620206,66.7700360686347,60.759943615551
17,Kansas,KS,3,2934582,26260.571352240288,26255.78605159343,281.0621751240892,279.9887684174441,73.42289293671126,60.31547252726283
18,Kentucky,KY,3,4509394,29215.588613458927,29206.39510700171,325.76439317566843,325.4650181376921,65.11706451022022,56.40627099783252
19,Louisiana,LA,3,4624047,26639.99738756981,26635.3230653334,369.28690387446323,368.7678780081604,60.967849158972655,53.40953498093769
20,Maine,ME,3,1372247,17113.464267001495,17079.026485131944,159.95662588440712,159.62869658304956,87.58401366517835,77.1173119708041
21,Maryland,MD,3,6165129,16398.456544867106,16382.980098921807,232.3714556499953,232.15518550652658,83.90411619935284,73.266025739283
22,Massachusetts,MA,3,6984723,24226.830469869743,24202.857742942295,287.37002168876273,287.20299048843214,95.80848088034415,77.06110893731935
23,Michigan,MI,3,10050811,23663.712311374675,23647.145062650732,353.52371067369586,352.91016151167634,66.15070166974586,59.32746123671016
24,Minnesota,MN,3,5707390,25011.257334788756,24998.99503726122,220.57367728506375,220.21157364983526,73.77542098927881,67.86904346820526
25,Mississippi,MS,4,2949965,26918.726154378102,26913.079598280943,419.59819862269546,419.20271370451275,59.722505182264875,51.87403918351574
26,Missouri,MO,3,6168187,23113.61507036022,23100.930166815167,325.0063592429996,324.50378044634516,65.40690157415784,55.259624910853056
27,Montana,MT,3,1104271,24689.59159481685,24683.343128634184,293.58735310444627,293.33077357520636,62.73704552596237,54.535163922624065
28,Nebraska,NE,3,1963692,24300.297602679035,24301.11966933423,206.39692986476493,206.30356831247806,68.64650871928998,61.96302678831507
29,Nevada,NV,3,3143991,22659.2251695377,22643.162782590665,319.7528237199152,318.92584934244405,73.0411760084555,58.96324130698848
30,New Hampshire,NH,3,1388992,21726.331037183798,21714.05080601102,176.0269317605861,175.85894423198022,86.28537817352439,66.7736747223886
