state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,27534.977540126478,27364.65025407791,393.28340751173096,392.76421494678016,61.68966028337597,50.28868760090772
2,Alaska,AK,3,732673,38207.49502165359,37867.74103668543,173.3379010827477,170.6081703570351,70.7566677085139,62.73972154016867
3,Arizona,AZ,3,7276316,29699.71342640974,29549.71601406144,420.98226630069394,420.29510538025005,74.54529187572393,62.564118985486616
4,Arkansas,AR,3,3025891,29192.42629691552,29042.954384581033,384.15131278687835,383.6996551869626,67.41363122465415,54.99804850868719
5,California,CA,3,39237836,26439.505991105118,26299.71744619148,236.88105531609847,236.60623553925518,83.84906598824665,73.46208134413936
6,Colorado,CO,3,5812069,27063.426122435918,26907.31746548187,225.03173998794577,224.2890325860435,79.80784467631062,70.3245264294006
7,Connecticut,CT,3,3605597,23321.85210937329,23253.418821586867,307.4386849112644,306.85163464839064,96.01660973203604,79.32364598705846
8,Delaware,DE,3,1003384,28760.972867815315,28685.371559784548,299.08788659177344,298.87195065232584,81.96034618849812,68.17718839447309
9,District of Columbia,DC,4,1340100,11901.649130661892,11845.907021864039,101.1118573240803,100.99992537870308,53.97552421461085,40.36191329005298
10,Florida,FL,3,21781128,30431.596563777595,30250.252813877614,351.17556813402865,350.3499298414052,79.2041302911401,66.79985536102629
11,Georgia,GA,3,10799566,24244.41871090005,24075.33784227996,345.3657304376861,344.4089018638959,65.12264474331654,54.58146188467203
12,Hawaii,HI,3,1441553,21474.132411364688,21265.379371116724,106.27427503532647,105.63838674910555,87.24479779793043,77.84118932845341
13,Idaho,ID,4,1900923,24756.920716935932,24672.570715834965,262.8196933805315,262.78462269820153,58.69317168554434,52.5855071457392
14,Illinois,IL,3,12671469,27602.261426832203,27468.92137875141,305.5762516563786,305.20533964925454,76.51645598470076,69.15442084891656
15,Indiana,IN,3,6805985,26368.042245170982,26303.477223145717,352.36633639363004,351.5753658973193,62.04320168204897,55.88610612571141
16,Iowa,IA,3,3193079,25236.957807808703,25141.69373376427,304.34574277679945,303.9542710969569,67.79318645107121,61.77476348064047
17,Kansas,KS,3,2934582,27956.894712773406,27779.561109554958,306.10833161247496,306.10833161247496,72.86093896848,62.25073962833548
18,Kentucky,KY,3,4509394,31847.09519727041,31723.41053872364,360.22578643604885,359.5383326451404,66.2813229449456,57.45199909344804
19,Louisiana,LA,3,4624047,29038.199654977554,28820.681475401467,377.8508306684599,377.16600487264367,61.99712070400668,54.32055513276573
20,Maine,ME,3,1372247,19865.59271035025,19813.675776195643,179.5595107877809,179.37732784258228,90.42176809277048,79.03467815925266
21,Maryland,MD,3,6165129,18738.407582387976,18642.107894254932,241.14661672123972,240.75462708620265,86.23655725614177,75.11143724648747
22,Massachusetts,MA,3,6984723,27836.737405334472,27740.134740183275,301.62971387698553,301.1572541960504,98.88254695282833,79.0877605310905
23,Michigan,MI,3,10050811,26228.868496283536,26124.049662687492,369.5423185253409,368.4097399370724,67.14125855117562,60.331350375606505
24,Minnesota,MN,3,5707390,27525.856827726857,27382.869277500628,231.36670176735777,230.59577144719387,75.10897275286953,69.01564462915624
25,Mississippi,MS,3,2949965,28964.75042924238,28775.121060758345,425.86945946816314,425.4344260581624,60.87634938041637,52.93327208966886
26,Missouri,MO,3,6168187,25020.18826601723,24980.08618369431,340.2620575543511,340.1755923850342,66.65366987090373,56.51555311147344
27,Montana,MT,3,1104271,26253.24761765907,26239.94860474855,312.4233091333559,312.4233091333559,63.892287309908525,55.58780408070121
28,Nebraska,NE,3,1963692,25844.48070267639,25731.879395692253,221.87797271669896,221.37721529988747,70.02223362930643,63.23130103906315
29,Nevada,NV,3,3143991,25121.414151630837,24978.25670802311,354.3585207464016,353.8019033769499,74.79191257226881,60.28493720242838
30,New Hampshire,NH,3,1388992,24128.93666774179,24069.973045201124,187.83405519974195,187.40208726904117,87.91620110123024,70.22718633368659
31,New Jersey,NJ,3,9267130,27355.470355978607,27236.484527263874,368.45280038156363,368.1218816757004,87.81213817006991,73.39944513565688
32,New Mexico,NM,3,2115877,27216.23232352353,27082.285839056673,379.8424955703947,377.06193066358145,88.57287072925317,71.4919629071066
33,New York,NY,3,19835913,28694.877820849484,28569.862148518198,348.9781387930064,348.59163444270666,89.55901853370702,76.43783777434395
34,North Carolina,NC,3,10551162,27668.52598794332,27494.0915783223,240.7791672613879,239.68923991499705,85.64808312108183,62.32622530106162
35,North Dakota,ND,3,774948,32647.99702689729,32545.20671986102,302.72998962511036,302.34286687622904,65.25999163814863,55.23028641921781
36,Ohio,OH,3,11780017,24547.978156568028,24369.964831120364,330.7210846979253,330.3900155661914,63.42573189834956,58.4469275383898
37,Oklahoma,OK,3,3986639,27514.655829133262,27312.98935555202,364.34199334326485,363.03763646520287,71.48756132672159,57.62417916445407
38,Oregon,OR,3,4246155,19574.721130057664,19466.431563210885,185.9800219257187,185.15574678738767,78.24179757922167,69.87041217289524
39,Pennsylvania,PA,3,12964056,23434.610279375527,23356.961520596415,354.43382842530144,353.8167376012569,85.31447256938723,68.90045059971972
40,Rhode Island,RI,3,1095610,37086.28070207464,36982.65936653684,330.5008168965234,330.059662349437,97.26581539051304,81.17961683445752
41,South Carolina,SC,3,5190705,30315.4388469389,30167.416014367434,347.8332904682504,347.6791688219616,68.07106163806266,57.31209922351588
42,South Dakota,SD,3,895376,27616.77775593717,27491.610866751587,328.9120994978646,328.4467456502445,77.07946158932113,62.02556244527438
43,Tennessee,TN,3,6975218,30168.8061935842,30016.567224135502,380.8483118377089,379.9690083760345,61.521948131226864,53.85559275710092
44,Texas,TX,3,29527941,24598.5996788601,24467.842654037897,301.78196305661817,301.59569879931684,73.29518505878889,61.310478776694936
45,Utah,UT,3,3337975,29892.614534261043,29692.42472713889,145.86688036908603,145.2028050939067,70.05699563358024,62.325751391187765
46,Vermont,VT,3,645570,21174.311073934663,21113.45676799462,106.57248632991,106.44340143852202,91.79655188438124,79.3548337128429
47,Virginia,VA,3,8642274,22086.10835527779,21965.311775250684,240.51540138625552,240.0853448216677,85.85837477497242,72.98437887991054
48,Washington,WA,3,7738692,21917.851233774392,21845.6851069184,173.80198100660937,173.16233802818354,80.70941445918768,71.93976708208571
49,West Virginia,WV,3,1782959,30404.06425498287,30247.51871147105,398.1583423959833,397.16748020191903,66.03735700035726,58.50358869721626
50,Wisconsin,WI,3,5895908,29653.905725801695,29550.097651262047,251.869601764478,251.6971657857167,71.70501982052637,65.38689206140937
51,Wyoming,WY,4,578803,28919.33870418778,28744.8900082214,318.7613056601296,317.4943230540731,58.813102212669946,51.458959265933316
