state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,11220.710346700922,11142.394943368654,227.54523572698304,227.16493544055405,40.37427897545912,32.932847369092535
2,Alaska,AK,4,732673,9929.941460924587,9857.21363516096,49.81758574425425,49.703846964016236,50.64496712721773,44.98473398091645
3,Arizona,AZ,4,7276316,12542.789510516037,12497.458486252817,249.26075228178652,248.96298254959424,52.00671603597205,44.65523487435125
4,Arkansas,AR,4,3025891,12238.577000956082,12079.89410627906,199.4453864993815,198.34378259714796,44.225585125174696,35.433067483263606
5,California,CA,3,39237836,10108.980016125251,10054.892644217907,163.551323268694,163.38779063486922,63.94346772844456,52.28533755021556
6,Colorado,CO,4,5812069,9837.064907522605,9802.781566623324,121.40255045148292,121.09858525997082,58.82703732526231,53.191075329628745
7,Connecticut,CT,3,3605597,9757.746081994188,9737.899953084847,229.80937692149178,229.69843828913767,67.962614790283,61.79409401549868
8,Delaware,DE,4,1003384,11020.008291940076,11004.916505402858,169.1276719580938,169.12767195809377,57.90654425424364,50.382904252011194
9,District of Columbia,DC,4,1340100,3725.841355122752,3713.6247827987254,85.51600626818895,85.51600626818895,33.194985448847106,28.470860383553465
10,Florida,FL,4,21781128,11259.568374971213,11117.315477351378,177.06153694152113,176.356798417419,55.087110272709474,47.27076577484876
11,Georgia,GA,4,10799566,10464.374216519442,10412.790133021483,193.60963209077104,193.25776609911918,44.29270583651232,37.382391107198195
12,Hawaii,HI,3,1441553,2655.7469617835764,2624.8873858361685,36.349686761430206,36.083769841737805,69.48305057115486,52.12087242023012
13,Idaho,ID,4,1900923,10420.885012175664,10382.783220872927,114.78634326587662,114.50577780723715,38.04283498069096,34.76916213860319
14,Illinois,IL,3,12671469,11131.33765311662,11099.19119423779,204.08052136654402,203.87665129170634,61.213628822356746,47.84071207529293
15,Indiana,IN,4,6805985,11270.256987048899,11238.30401792372,205.1576663774604,204.9519650719183,45.84178484084229,43.16281919516425
16,Iowa,IA,4,3193079,11798.204804829445,11775.8976300215,193.23042117028737,192.91724382641334,51.83880511568928,48.5600888672031
17,Kansas,KS,4,2934582,11148.33390240927,11097.16574869704,178.42404812678603,178.32749831719363,50.172051760693684,42.84889636752355
18,Kentucky,KY,4,4509394,10519.3513806955,10465.479713808867,163.0152521602681,162.71218113416865,50.39641690213807,44.50125670988164
19,Louisiana,LA,4,4624047,11023.157852850545,10831.13990839626,235.4863607571463,234.4987698726534,40.333737957248275,36.47707300552957
20,Maine,ME,3,1372247,5085.090366384477,5069.068677661009,64.93000166879578,64.28628859576058,66.22335483334997,61.661639631932154
21,Maryland,MD,3,6165129,7546.589860487915,7535.935466348601,158.92611492800881,158.69092114698654,62.40626919566484,56.907325053539026
22,Massachusetts,MA,3,6984723,10230.26969000775,10209.857795567352,258.29227587121204,258.06797683076815,70.86112076312833,62.43501710805138
23,Michigan,MI,4,10050811,9981.920861908557,9974.595227048983,210.03280232809075,209.93496611036332,52.15664686163136,48.07434942314605
24,Minnesota,MN,4,5707390,10672.286281470164,10655.62367386844,135.6311729179187,135.45012110030447,57.3648550388181,52.58096958504675
25,Mississippi,MS,4,2949965,11249.726691672613,11146.727890960448,254.03691230234935,253.2515922505295,38.422286366109425,34.248270742195245
26,Missouri,MO,4,6168187,10893.638600775237,10774.779873382106,165.0241797143958,164.17033616739135,46.79913238687478,40.19300971257843
27,Montana,MT,4,1104271,10436.930789634067,10408.120573922266,153.49493013943135,153.22325769670672,47.12031738585909,42.48748722007551
28,Nebraska,NE,4,1963692,11539.793409557098,11516.971966217572,129.65373388494734,129.30574991733258,52.10200988749764,48.199208429835224
29,Nevada,NV,4,3143991,11070.00624365655,10976.74897924326,184.38347946924785,183.3391592618003,51.037073579409096,42.67817560546452
