state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,4,5039877,3280.675302194875,3222.6296679179154,52.85843285461133,51.89941474100791,0.0,0.0
2,Alaska,AK,4,732673,1447.849176917943,1363.442003263588,7.643246031995174,7.529507251757152,0.0,0.0
3,Arizona,AZ,4,7276316,3100.126492582235,3069.9483482732585,79.14719481671769,78.79674274729135,0.0,0.0
4,Arkansas,AR,4,3025891,3067.9558516813727,2978.537089217217,51.852495678132485,49.478539268819226,0.0,0.0
5,California,CA,4,39237836,2184.3126109197256,2159.640724616632,42.25768210051135,41.74669571481975,0.0,0.0
6,Colorado,CO,4,5812069,1354.9735902997709,1312.6060862073632,36.71670105774725,36.1861957706742,0.0,0.0
7,Connecticut,CT,4,3605597,1665.133402318673,1654.5189524587947,125.63800114100384,125.48546052151698,0.0,0.0
8,Delaware,DE,4,1003384,2205.5364646037806,2164.33303985029,65.1794327994068,64.69772954986992,0.0,0.0
9,District of Columbia,DC,4,1340100,1192.746809939557,1176.948415363459,47.53376613685546,47.2352809491829,0.0,0.0
10,Florida,FL,4,21781128,3372.107266437257,3331.1904559895024,70.53353710606724,68.72692727392263,0.0,0.0
11,Georgia,GA,4,10799566,3116.662280687946,3076.856448278966,67.09528882919925,65.90542619953432,0.0,0.0
12,Hawaii,HI,4,1441553,945.7161824782023,923.7656491694324,11.654098045649379,11.237880258304758,0.0,0.0
13,Idaho,ID,4,1900923,2533.2430613970164,2458.6251746426037,26.723859935410324,26.31177941803359,0.0,0.0
14,Illinois,IL,4,12671469,2548.915204701207,2484.237846230998,72.95918097578111,72.2410321960303,0.0,0.0
15,Indiana,IN,4,6805985,2018.208973425595,1946.1379527409645,55.67158904993179,54.86347677815923,0.0,0.0
16,Iowa,IA,4,3193079,3129.925692411619,3025.2349803165807,45.78652767438575,44.779140551590906,0.0,0.0
17,Kansas,KS,4,2934582,2290.9906760145054,2238.4838064549863,26.204754203494737,25.05183588895,0.0,0.0
18,Kentucky,KY,4,4509394,1826.3651390852076,1765.7361499128267,28.717827716983702,28.133861593523804,0.0,0.0
19,Louisiana,LA,4,4624047,3775.6320383421707,3730.7424797863373,122.2954697476042,121.32590059458018,0.0,0.0
20,Maine,ME,4,1372247,417.05319814872973,410.56748529965813,10.420864465362286,10.372282346642647,0.0,0.0
21,Maryland,MD,4,6165129,2138.690042008853,2107.9827712097695,64.86482277986397,64.51608717352063,0.0,0.0
22,Massachusetts,MA,4,6984723,1988.6686988159731,1963.0413403652512,137.50008411214017,136.85582091086502,0.0,0.0
23,Michigan,MI,4,10050811,1486.92478646748,1456.9840611440636,71.84494863150844,71.45692024255555,0.0,0.0
24,Minnesota,MN,4,5707390,1967.992374798288,1897.0167249328128,38.441389146352364,37.8106279753092,0.0,0.0
25,Mississippi,MS,4,2949965,3557.0591515492556,3490.0753059782064,105.11989125294707,103.62269834839849,0.0,0.0
