state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,2,5039877,18.01631269969485,15.201618157404576,0.4563603437147375,0.2546358439567738,56.1494853941872,45.76038264425898
2,Alaska,AK,3,732673,55.55002026825064,23.534178470964736,7.779732568280802,0.06824326814281405,64.18975450166718,55.67681626045998
3,Arizona,AZ,3,7276316,50.65750305511745,42.034615162005444,1.965280232469288,0.9093429513873047,66.09917711105456,56.218682641050776
4,Arkansas,AR,3,3025891,36.71645806144372,23.44055731966929,0.5618179901391028,0.45165759991574933,61.644851053788784,50.37230356281835
5,California,CA,2,39237836,22.246384841406645,16.805936276112966,0.27014741587685925,0.14739175048627384,81.62444024690862,65.60691063594842
6,Colorado,CO,3,5812069,30.281815305358553,28.70627605124047,0.32690596068284805,0.6050627868779029,72.59012238154777,64.69238407183397
7,Connecticut,CT,3,3605597,40.02111162173698,63.96008364614396,0.0,0.1386732904426091,85.63145021476333,73.04978898085393
8,Delaware,DE,3,1003384,106.73879591462492,66.81674926334998,0.29898822385048995,0.3322091376116555,73.08039594013857,61.425236997998766
9,District of Columbia,DC,3,1340100,62.98037459891053,26.831686334708497,0.14924259383628088,0.06218441409845037,45.01231251399149,35.02313260204462
10,Florida,FL,2,21781128,40.33308100480379,18.89906056026378,0.1331427830551292,0.1262560873798639,72.31201708194361,61.79988933539163
11,Georgia,GA,2,10799566,25.297312873498804,16.516536735960365,0.7315108773815541,0.12809156713643247,59.23372291071697,49.425199123742566
12,Hawaii,HI,3,1441553,53.96957309235248,21.663144836555734,0.13873926244820692,0.2312321040803448,82.24518973634684,61.45545810663916
13,Idaho,ID,2,1900923,20.46374313951696,17.217199975260137,0.26303011747451105,0.2981007998044459,48.530845278846115,43.13620278149089
14,Illinois,IL,3,12671469,84.12599991366432,67.01218754848843,0.5287469037725618,0.3853802059834841,70.74177429625563,63.33395914869855
15,Indiana,IN,4,6805985,75.59522978672449,64.38450863467962,0.7787263709808353,0.7787263709808352,56.393776947789334,51.02482594363637
16,Iowa,IA,3,3193079,0.0,34.01553350677691,0.0,0.6785509117271031,63.176513954086325,57.577529400306105
17,Kansas,KS,3,2934582,143.66611667351603,57.3992674741606,0.44299324401226475,0.37484043724114713,67.49182677464798,55.76518223038238
18,Kentucky,KY,3,4509394,61.20556331959461,46.87040938475167,0.8648612208203585,0.5913580997062281,61.04232630814694,53.10771247755242
19,Louisiana,LA,2,4624047,23.810311616642306,14.622318007210072,0.12975646657570739,0.14777819804455564,56.9244646518515,49.98216929888472
20,Maine,ME,3,1372247,83.80415479137503,65.98145752394223,1.8218294519864136,0.48582118719637696,82.54053388347724,73.2702640268115
21,Maryland,MD,1,6165129,0.0,0.0,0.0,0.0,77.32193438288152,68.22856423604438
22,Massachusetts,MA,3,6984723,101.22090740033643,73.38669182524693,0.6585801613034619,0.35553784070368044,87.36068703082427,72.66789248478429
23,Michigan,MI,3,10050811,143.58045335844042,66.03305089367556,2.785844843764349,0.9037413332449823,62.1365778343658,55.712728057467196
24,Minnesota,MN,3,5707390,67.21110700337633,56.32797378236186,0.9461417565647345,0.5402352622360367,69.66746621485478,63.864235666390414
25,Mississippi,MS,2,2949965,30.881722325519117,16.174526041592262,0.10169612181839445,0.14124461363665897,55.63262614980178,48.39674369017937
26,Missouri,MO,3,6168187,54.63517886211945,45.1765069472023,0.24318328870379577,0.39179529846722655,61.090009106403556,52.16083753621608
27,Montana,MT,3,1104271,18.202053662552036,13.454254306363978,0.27167244272465724,0.7999244146892686,59.329458076867006,51.72335414042386
28,Nebraska,NE,3,1963692,39.517398858884185,39.92479472340876,0.0,0.18672310457376548,64.46082175819832,58.16003731746119
29,Nevada,NV,3,3143991,36.51409943603528,23.646014617362816,0.4771006023872206,0.39228271751838134,66.76412241638097,54.5957987793222
