state_id,state_name,state_abbr,risk_level,population2021,daily_new_cases_per_100k,7d_rolling_avg_new_cases_per_100k,daily_new_deaths_per_100k,7d_rolling_avg_new_deaths_per_100k,daily_percentage_of_people_who_received_at_least_one_dose,daily_percentage_of_people_who_are_fully_vaccinated
1,Alabama,AL,3,5039877,12.758247869938097,11.86253440028681,0.4563603437147375,0.18518970469583554,0.0,0.0
2,Alaska,AK,2,732673,4.913515306282612,3.0027037982838185,0.0,0.0,0.0,0.0
3,Arizona,AZ,3,7276316,49.88788282422039,37.49738977016077,0.6047016099905502,0.288607586586399,0.0,0.0
4,Arkansas,AR,3,3025891,19.6636296548686,16.462683458950014,0.33048117067006044,0.21481276093553928,0.0,0.0
5,California,CA,3,39237836,16.359210023712826,11.617067042855561,0.19369060006265382,0.1524888715405542,0.0,0.0
6,Colorado,CO,2,5812069,3.234648453072391,3.5640123533092454,0.24087807629262487,0.09749826897558626,0.0,0.0
7,Connecticut,CT,2,3605597,3.2449549963570528,2.1791517069552855,0.3882852132393055,0.24498947978194274,0.0,0.0
8,Delaware,DE,2,1003384,2.6908940146544094,6.321465304267503,6.876729148561269,0.18271502568641051,0.0,0.0
9,District of Columbia,DC,2,1340100,2.686366689053056,2.9422111356295373,0.14924259383628088,0.18655324229535108,0.0,0.0
10,Florida,FL,3,21781128,15.08645465928119,15.343557964491096,0.2984234792614965,0.13773391350530606,0.0,0.0
11,Georgia,GA,3,10799566,17.334029904535054,10.946207071125425,0.3611256230111469,0.17747626771915337,0.0,0.0
12,Hawaii,HI,1,1441553,0.20810889367231036,0.7828858381005962,0.0,0.0,0.0,0.0
13,Idaho,ID,2,1900923,7.627873406760821,6.530662059581432,0.0,0.008767670582483704,0.0,0.0
14,Illinois,IL,2,12671469,5.263793803228339,4.978563597142075,0.2841028139673466,0.3695967163186315,0.0,0.0
15,Indiana,IN,2,6805985,3.7907812021331226,4.590497502250907,0.23508720633383703,0.2595754569936118,0.0,0.0
16,Iowa,IA,2,3193079,7.923386800013404,9.874034256143187,0.09395320316221427,0.08873358076431348,0.0,0.0
17,Kansas,KS,2,2934582,2.8283414810013827,5.30618281289416,0.03407640338555883,0.07951160789963728,0.0,0.0
18,Kentucky,KY,2,4509394,5.5439821847458886,4.511217503473226,0.22175928738983552,0.07022377434011458,0.0,0.0
19,Louisiana,LA,3,4624047,29.324961446109867,12.017920356654802,0.3676433219645043,0.2703259720327237,0.0,0.0
20,Maine,ME,1,1372247,1.6760830958275004,1.8218294519864138,0.0,0.012145529679909423,0.0,0.0
21,Maryland,MD,2,6165129,6.488104304062413,6.020033922126481,0.2919646936828086,0.24871066498905917,0.0,0.0
22,Massachusetts,MA,2,6984723,3.2785838464889734,3.1783651262906205,0.22907136045337803,0.4987074409870418,0.0,0.0
23,Michigan,MI,2,10050811,2.278423104364414,2.710513325029905,0.11939335044704352,0.10281094066273193,0.0,0.0
24,Minnesota,MN,2,5707390,4.240116760901217,6.477817105792414,0.15769029276078908,0.2102537236810521,0.0,0.0
25,Mississippi,MS,3,2949965,20.71211014367967,13.297978595871959,0.37288578000077965,0.35593642636438066,0.0,0.0
26,Missouri,MO,2,6168187,6.728070987471684,5.136957469952563,0.21075885020995636,0.20805681366880305,0.0,0.0
27,Montana,MT,1,1104271,0.8150173281739718,1.668845005308609,0.0,0.03018582696940636,0.0,0.0
28,Nebraska,NE,2,1963692,6.823880730786702,7.711421721358107,0.3564713814590068,0.16126086304097928,0.0,0.0
29,Nevada,NV,3,3143991,15.362639396868504,10.836999397081154,0.06361341365162941,0.12192570949895636,0.0,0.0
30,New Hampshire,NH,2,1388992,0.9359305165184537,2.1289848013112076,0.2879786204672165,0.15598841941974229,0.0,0.0
31,New Jersey,NJ,2,9267130,3.4422739294689944,3.5578899369522787,0.5827046777157545,0.3021431662229838,0.0,0.0
32,New Mexico,NM,2,2115877,6.805688610443802,6.110266063940119,0.33083208522990704,0.1732929970251894,0.0,0.0
33,New York,NY,2,19835913,3.0147339323377755,3.2451961536344993,0.18148899927117043,0.21089693896788786,0.0,0.0
34,North Carolina,NC,3,10551162,9.344942291664179,11.807771910403261,0.24641835657532318,0.102674315239718,0.0,0.0
35,North Dakota,ND,2,774948,0.9032864140561689,3.668448906064849,0.12904091629373843,0.12904091629373846,0.0,0.0
36,Ohio,OH,2,11780017,5.008481736486458,4.992716539737228,0.26315751496793255,0.1513863123740257,0.0,0.0
37,Oklahoma,OK,2,3986639,7.399716904389888,8.539237473685764,0.05016757223315178,0.025083786116575888,0.0,0.0
38,Oregon,OR,2,4246155,4.757245084081951,4.057452313580504,0.0,0.03925119706338245,0.0,0.0
39,Pennsylvania,PA,2,12964056,4.759312980443775,3.5328449676551843,0.27769087082005817,0.177413611912815,0.0,0.0
40,Rhode Island,RI,2,1095610,6.754228238150437,4.8114096908832265,0.27382006370880146,0.5780645789408032,0.0,0.0
41,South Carolina,SC,3,5190705,17.56986767693406,18.213875984641227,0.2697128810055667,0.16696511681296985,0.0,0.0
42,South Dakota,SD,2,895376,3.0154929325780455,6.174580766707427,0.223369846857633,0.074456615619211,0.0,0.0
43,Tennessee,TN,2,6975218,10.938726216155537,9.001254768770567,0.14336469483821151,0.09079764006420062,0.0,0.0
44,Texas,TX,2,29527941,17.20404412891505,13.910795299175886,0.11175855438074739,0.08805219436058885,0.0,0.0
45,Utah,UT,2,3337975,12.552520615043552,14.452731713945473,0.14979141545398034,0.06490961336339147,0.0,0.0
46,Vermont,VT,1,645570,0.15490186966556688,0.7523805098041819,0.0,0.02581697827759448,0.0,0.0
47,Virginia,VA,2,8642274,6.121074152474221,6.054953988796401,0.28927571609046415,0.0964252386968214,0.0,0.0
48,Washington,WA,2,7738692,4.3288969246999365,5.222366481866151,0.10337664297790893,0.0926082426677101,0.0,0.0
49,West Virginia,WV,1,1782959,1.2339038643064704,2.019115414319679,0.11217307857331549,0.01869551309555258,0.0,0.0
50,Wisconsin,WI,2,5895908,5.732789588982732,5.713405685047034,0.11872641160615124,0.11589959228219526,0.0,0.0
51,Wyoming,WY,2,578803,4.146488528912255,4.0724440908959645,0.0,0.057590118457114654,0.0,0.0
